region,rank,knowledge_index,similarity,text
0,1,7288,0.296749,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
0,2,945,0.288339,"- Left breast, new posterior margin excision: Negative for tumor."
0,3,3749,0.287530,[name redacted].
1,1,7288,0.297494,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
1,2,945,0.287892,"- Left breast, new posterior margin excision: Negative for tumor."
1,3,7654,0.283628,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
2,1,7288,0.293363,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
2,2,945,0.290697,"- Left breast, new posterior margin excision: Negative for tumor."
2,3,3749,0.285887,[name redacted].
3,1,945,0.295675,"- Left breast, new posterior margin excision: Negative for tumor."
3,2,7288,0.295118,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
3,3,7654,0.290011,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
4,1,1954,0.297948,- Multifocal fat necrosis.
4,2,945,0.291938,"- Left breast, new posterior margin excision: Negative for tumor."
4,3,7695,0.290061,- Two lymph nodes with no pathological diagnosis.
5,1,7288,0.292632,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
5,2,945,0.288120,"- Left breast, new posterior margin excision: Negative for tumor."
5,3,7856,0.287760,- Invasive lobular carcinoma was identified (detailed breast pathologic parameters provided).
6,1,2455,0.297582,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
6,2,1954,0.297404,- Multifocal fat necrosis.
6,3,2040,0.296490,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
7,1,6566,0.307084,Minimal axillary tissue is present and no lymph nodes are identified.
7,2,6206,0.303833,The largest metastatic focus measures 1 cm with extracapsular extension.
7,3,1449,0.303637,Twenty-six lymph nodes are negative for metastatic carcinoma.
8,1,3749,0.298933,[name redacted].
8,2,3694,0.294809,The Nottingham Score could not be determined.
8,3,1656,0.294756,The Nottingham Histologic Score could not be determined due to missing information.
9,1,945,0.293540,"- Left breast, new posterior margin excision: Negative for tumor."
